time	V(vo)
3.696435000007746e-004	9.988364e-001
3.706675000007907e-004	9.988585e-001
3.716915000008068e-004	9.988801e-001
3.727155000008229e-004	9.989014e-001
3.737395000008391e-004	9.989222e-001
3.747635000008552e-004	9.989427e-001
3.757875000008713e-004	9.989627e-001
3.768115000008874e-004	9.989824e-001
3.778355000009036e-004	9.990017e-001
3.788595000009197e-004	9.990206e-001
3.798835000009358e-004	9.990392e-001
3.809075000009519e-004	9.990574e-001
3.819315000009681e-004	9.990753e-001
3.829555000009842e-004	9.990929e-001
3.839795000010003e-004	9.991100e-001
3.850035000010164e-004	9.991269e-001
3.860275000010325e-004	9.991435e-001
3.870515000010487e-004	9.991598e-001
3.880755000010648e-004	9.991757e-001
3.890995000010809e-004	9.991913e-001
3.901235000010970e-004	9.992067e-001
3.911475000011132e-004	9.992217e-001
3.921715000011293e-004	9.992365e-001
3.931955000011454e-004	9.992509e-001
3.942195000011615e-004	9.992652e-001
3.952435000011777e-004	9.992791e-001
3.962675000011938e-004	9.992928e-001
3.972915000012099e-004	9.993062e-001
3.983155000012260e-004	9.993194e-001
3.993395000012421e-004	9.993322e-001
4.003635000012583e-004	9.993449e-001
4.013875000012744e-004	9.993573e-001
4.024115000012905e-004	9.993696e-001
4.034355000013066e-004	9.993815e-001
4.044595000013228e-004	9.993932e-001
4.054835000013389e-004	9.994047e-001
4.065075000013550e-004	9.994161e-001
4.075315000013711e-004	9.994271e-001
4.085555000013873e-004	9.994380e-001
4.095795000014034e-004	9.994487e-001
4.106035000014195e-004	9.994591e-001
4.116275000014356e-004	9.994694e-001
4.126515000014517e-004	9.994794e-001
4.136755000014679e-004	9.994893e-001
4.146995000014840e-004	9.994990e-001
4.157235000015001e-004	9.995085e-001
4.167475000015162e-004	9.995178e-001
4.177715000015324e-004	9.995270e-001
4.187955000015485e-004	9.995359e-001
4.198195000015646e-004	9.995447e-001
4.208435000015807e-004	9.995534e-001
4.218675000015969e-004	9.995618e-001
4.228915000016130e-004	9.995702e-001
4.239155000016291e-004	9.995783e-001
4.249395000016452e-004	9.995863e-001
4.259635000016614e-004	9.995942e-001
4.269875000016775e-004	9.996018e-001
4.280115000016936e-004	9.996094e-001
4.290355000017097e-004	9.996168e-001
4.300595000017258e-004	9.996241e-001
4.310835000017420e-004	9.996312e-001
4.321075000017581e-004	9.996382e-001
4.331315000017742e-004	9.996451e-001
4.341555000017903e-004	9.996518e-001
4.351795000018065e-004	9.996584e-001
4.362035000018226e-004	9.996649e-001
4.372275000018387e-004	9.996713e-001
4.382515000018548e-004	9.996775e-001
4.392755000018710e-004	9.996836e-001
4.402995000018871e-004	9.996896e-001
4.413235000019032e-004	9.996955e-001
4.423475000019193e-004	9.997013e-001
4.433715000019354e-004	9.997069e-001
4.443955000019516e-004	9.997125e-001
4.454195000019677e-004	9.997180e-001
4.464435000019838e-004	9.997233e-001
4.474675000019999e-004	9.997286e-001
4.484915000020161e-004	9.997337e-001
4.495155000020322e-004	9.997388e-001
4.499995000020398e-004	9.997411e-001
4.500000000000000e-004	9.997411e-001
