Freq.	V(vout)
1.34586035405594e+002	(3.94385624638923e+000dB,-1.56063422512217e-002°)
1.34896288259165e+002	(3.94385624571671e+000dB,-1.56423185853177e-002°)
1.35207256319427e+002	(3.94385624504109e+000dB,-1.56783778534266e-002°)
1.35518941235103e+002	(3.94385624436234e+000dB,-1.57145202467313e-002°)
1.35831344658715e+002	(3.94385624368047e+000dB,-1.57507459568549e-002°)
1.36144468246594e+002	(3.94385624299545e+000dB,-1.57870551758627e-002°)
1.36458313658892e+002	(3.94385624230726e+000dB,-1.58234480962625e-002°)
1.36772882559584e+002	(3.94385624161590e+000dB,-1.58599249110059e-002°)
1.37088176616484e+002	(3.94385624092135e+000dB,-1.58964858134892e-002°)
1.37404197501251e+002	(3.94385624022359e+000dB,-1.59331309975549e-002°)
1.37720946889394e+002	(3.94385623952261e+000dB,-1.59698606574918e-002°)
1.38038426460288e+002	(3.94385623881840e+000dB,-1.60066749880371e-002°)
1.38356637897177e+002	(3.94385623811093e+000dB,-1.60435741843767e-002°)
1.38675582887188e+002	(3.94385623740021e+000dB,-1.60805584421462e-002°)
1.38995263121334e+002	(3.94385623668619e+000dB,-1.61176279574327e-002°)
1.39315680294529e+002	(3.94385623596889e+000dB,-1.61547829267749e-002°)
1.39636836105593e+002	(3.94385623524826e+000dB,-1.61920235471649e-002°)
1.39958732257261e+002	(3.94385623452432e+000dB,-1.62293500160485e-002°)
1.40281370456195e+002	(3.94385623379703e+000dB,-1.62667625313270e-002°)
1.40604752412990e+002	(3.94385623306639e+000dB,-1.63042612913579e-002°)
1.40928879842186e+002	(3.94385623233238e+000dB,-1.63418464949558e-002°)
1.41253754462274e+002	(3.94385623159498e+000dB,-1.63795183413937e-002°)
1.41579377995707e+002	(3.94385623085417e+000dB,-1.64172770304039e-002°)
1.41905752168908e+002	(3.94385623010994e+000dB,-1.64551227621792e-002°)
1.42232878712281e+002	(3.94385622936228e+000dB,-1.64930557373739e-002°)
1.42560759360218e+002	(3.94385622861117e+000dB,-1.65310761571049e-002°)
1.42889395851109e+002	(3.94385622785659e+000dB,-1.65691842229525e-002°)
1.43218789927353e+002	(3.94385622709853e+000dB,-1.66073801369621e-002°)
